Date,Type,Day(Overall),Day,Mentions,Reaction
8/25/2024,MC Fact,535,288,6,:thumbsup:
8/26/2024,MC Fact,536,289,7,:tools:
8/27/2024,MC Fact,537,290,7,:bat:
8/28/2024,MC Fact,538,291,7,:monkas:
8/29/2024,MC Fact,539,292,8,:shulk:
8/30/2024,MC Fact,540,293,8,:potted_plant:
8/31/2024,MC Fact,541,294,8,:mc_phantom:
9/1/2024,MC Fact,542,295,7,:pillager_banner:
9/2/2024,MC Fact,543,296,8,:blockfront_nether_portal:
9/3/2024,MC Fact,544,297,8,:zap:
9/4/2024,MC Fact,545,298,7,:squid:
9/5/2024,MC Fact,546,299,9,:parrotparty:
9/6/2024,MC Fact,547,300,6,:ender_dragon:
9/7/2024,MC Fact,548,301,8,:blockfront_missing_texture:
9/8/2024,MC Fact,549,302,7,:pepega:
9/9/2024,MC Fact,550,303,6,:netherite_sword:
9/10/2024,MC Fact,551,304,7,:apple:
9/11/2024,MC Fact,552,305,7,:villager:
9/12/2024,MC Fact,553,306,7,:steve_spin:
9/13/2024,MC Fact,554,307,8,:diamond_sword:
9/14/2024,MC Fact,555,308,7,:potato:
9/15/2024,MC Fact,556,309,8,:mc_heart:
9/16/2024,MC Fact,557,310,8,:honey_pot:
9/17/2024,MC Fact,558,311,9,:mc_heart:
9/18/2024,MC Fact,559,312,8,:weathered_copper_block:
9/19/2024,MC Fact,560,313,9,:arrow_up_down:
9/20/2024,MC Fact,561,314,8,:shulk:
9/21/2024,MC Fact,562,315,8,:bee:
